id,member_id,survey_category_id,rating
1,7,1,5
2,7,2,1
3,7,3,3
4,7,4,1
5,7,5,2
6,7,6,3
7,7,7,5
8,7,8,5
9,7,9,4
10,7,10,5
11,8,1,5
12,8,2,1
13,8,3,1
14,8,4,1
15,8,5,1
16,8,6,5
17,8,7,3
18,8,8,5
19,8,9,5
20,8,10,5
21,9,1,5
22,9,2,3
23,9,3,5
24,9,4,5
25,9,5,1
26,9,6,5
27,9,7,5
28,9,8,3
29,9,9,1
30,9,10,5
31,11,1,3
32,11,2,4
33,11,3,3
34,11,4,3
35,11,5,1
36,11,6,4
37,11,7,4
38,11,8,4
39,11,9,5
40,11,10,2
41,12,1,5
42,12,2,5
43,12,3,1
44,12,4,5
45,12,5,2
46,12,6,1
47,12,7,5
48,12,8,1
49,12,9,4
50,12,10,4
51,13,1,1
52,13,2,4
53,13,3,5
54,13,4,3
55,13,5,4
56,13,6,5
57,13,7,4
58,13,8,5
59,13,9,4
60,13,10,2
61,14,1,4
62,14,2,1
63,14,3,4
64,14,4,4
65,14,5,5
66,14,6,5
67,14,7,5
68,14,8,5
69,14,9,4
70,14,10,5
